Tool,Rate 1,Rate 2
AMBUR,0.004401269,0.004401269
AMBUR,0.001362253,0.001362253
AMBUR,0.001676762,0.001676762
AMBUR,0.004715778,0.004715778
AMBUR,0.019210953,0.019210953
AMBUR,0.019553104,0.019553104
AMBUR,0.019895254,0.019895254
AMBUR,0.020237404,0.020237404
AMBUR,0.021606006,0.021606006
AMBUR,0.021948156,0.021948156
AMBUR,0.022290307,0.022290307
AMBUR,0.022632457,0.022632457
AMBUR,0.024001059,0.024001059
AMBUR,0.024343209,0.024343209
AMBUR,0.024685359,0.024685359
AMBUR,0.02502751,0.02502751
AMBUR,0.026396112,0.026396112
AMBUR,0.025784827,0.025784827
AMBUR,0.024878359,0.024878359
AMBUR,0.02397189,0.02397189
AMBUR,0.020346017,0.020346017
AMBUR,0.019476062,0.019476062
AMBUR,0.018609938,0.018609938
AMBUR,0.017743815,0.017743815
AMBUR,0.014279321,0.014279321
AMBUR,0.013413198,0.013413198
AMBUR,0.012547075,0.012547075
AMBUR,0.011680952,0.011680952
AMBUR,0.008216458,0.008216458
AMBUR,0.007350335,0.007350335
AMBUR,0.006484211,0.006484211
AMBUR,0.005618088,0.005618088
AMBUR,0.002153594,0.002153594
AMBUR,0.001287471,0.001287471
AMBUR,0.000421348,0.000421348
AMBUR,0.000444775,0.000444775
AMBUR,0.003909269,0.003909269
AMBUR,0.004775392,0.004775392
AMBUR,0.005641516,0.005641516
AMBUR,0.006507639,0.006507639
AMBUR,0.009972132,0.009972132
AMBUR,0.010838256,0.010838256
AMBUR,0.011704379,0.011704379
AMBUR,0.012570502,0.012570502
AMBUR,0.012532446,0.012532446
AMBUR,0.012097416,0.012097416
AMBUR,0.011662387,0.011662387
AMBUR,0.011227357,0.011227357
AMBUR,0.009487238,0.009487238
AMBUR,0.009052209,0.009052209
AMBUR,0.008617179,0.008617179
AMBUR,0.008182149,0.008182149
AMBUR,0.014867463,0.014867463
AMBUR,0.016208503,0.016208503
AMBUR,0.017549543,0.017549543
AMBUR,0.024254743,0.024254743
AMBUR,0.025595783,0.025595783
AMBUR,0.026936823,0.026936823
AMBUR,0.028277863,0.028277863
AMBUR,0.033642023,0.033642023
AMBUR,0.034983063,0.034983063
AMBUR,0.036324103,0.036324103
AMBUR,0.037665143,0.037665143
AMBUR,0.043029303,0.043029303
AMBUR,0.044370343,0.044370343
AMBUR,0.046639043,0.046639043
AMBUR,0.048973974,0.048973974
AMBUR,0.0583137,0.0583137
AMBUR,0.060648631,0.060648631
AMBUR,0.062983563,0.062983563
AMBUR,0.065318495,0.065318495
AMBUR,0.067261873,0.067261873
AMBUR,0.063652181,0.063652181
AMBUR,0.060042489,0.060042489
AMBUR,0.056432797,0.056432797
AMBUR,0.041994028,0.041994028
AMBUR,0.038384336,0.038384336
AMBUR,0.034774644,0.034774644
AMBUR,0.031164952,0.031164952
AMBUR,0.016726184,0.016726184
AMBUR,0.013116492,0.013116492
AMBUR,0.0095068,0.0095068
AMBUR,0.005897108,0.005897108
AMBUR,0.008541661,0.008541661
AMBUR,0.012151353,0.012151353
AMBUR,0.015761045,0.015761045
AMBUR,0.019370737,0.019370737
AMBUR,0.033809506,0.033809506
AMBUR,0.037419198,0.037419198
AMBUR,0.04102889,0.04102889
AMBUR,0.044638582,0.044638582
AMBUR,0.057358583,0.057358583
AMBUR,0.05914265,0.05914265
AMBUR,0.060926718,0.060926718
AMBUR,0.062710784,0.062710784
AMBUR,0.069847053,0.069847053
AMBUR,0.07163112,0.07163112
AMBUR,0.073415187,0.073415187
AMBUR,0.075199254,0.075199254
AMBUR,0.076983321,0.076983321
AMBUR,0.084119589,0.084119589
AMBUR,0.08690352,0.08690352
AMBUR,0.089748319,0.089748319
AMBUR,0.091220702,0.091220702
