TIC,latitude,longitude,Tmag,GAIAmag,Vmag,Jmag,Kmag,Teff,logg,MH,lumclass,rad,e_rad,mass,numcont,contratio,pmRA,pmDEC,Sectors,Epoch,Period,Duration,Depth,Depth,Tmag,Delta Tmag
23434737,-34.4067443,168.2252071,7.9995,8.42196,8.59,7.411,6.997,5742.22,4.31215,-0.39,DWARF,1.17321,0.0504221,1.03,142,0.002388256,292.931,-44.783,10_11,2458572.598,4.90427,5.259,1600,,8.9718,6.989700043
23650642,42.10499219,126.0884702,10.8219,11.2946,11.238,10.187,9.762,5523.99,4.41288,0.00660561,DWARF,1.01386,0.0472613,0.97,47,0.03557346,26.6024,-59.7382,5,2458441.056,5.8076,1.802,960,,9.4464,7.544321917
23740089,37.74854452,208.0996802,10.4985,10.9656,11.133,9.841,9.382,5595,4.32171,,DWARF,1.13705,0.0612061,0.989,28,0.000493268,-6.0141,15.6874,17_18,2458764.914,3.66328,2.255,1080,,10.4433,7.416440611
23814735,38.70577258,210.0444797,11.1345,11.9419,12.389,9.975,9.155,4065,4.59496,,DWARF,0.667797,0.0638743,0.64,43,0.001359954,24.5271,-30.637,9,2458543.701,4.719906,1.825078,1940.571533,,9.5359,6.780175859
24094603,-46.06551302,269.6486273,11.0605,11.4941,11.633,10.311,9.89,5966,,,,,,,,,2.30732,-2.23964,7,2458493.384,2.17153,1.937,720,,9.604,7.856668759
24364065,33.27371319,291.120506,10.4717,11.04,11.284,9.592,9.082,5246,,,GIANT,3.6427,,,,,-7.06739,-2.64786,7,2458495.942,5.21517,5.655,4593.850098,,10.1887,5.844557951
25155310,-69.2268227,63.37393962,10.6103,11.0665,10.994,9.962,9.598,5675.54,4.25432,0.20683,DWARF,1.24175,0.0610804,1.01,135,0.026074072,63.1342,53.4329,9,2458545.922,3.70426,4.08,7440,,9.6306,5.321067661
25334160,-10.87067047,98.26779707,10.1775,10.9243,11.458,9.069,8.255,4692,,,GIANT,8.01572,,,,,-3.94388,-1.97359,5,2458439.542,3.345431,0.989233,1625.246948,,11.6434,6.972701602
25375553,-22.61258127,328.7676784,9.77486,10.1054,10.251,9.356,9.076,6510,3.98198,,DWARF,1.95411,0.0941057,1.336,60,0.01965226,12.8849,-4.31092,6,2458468.521,2.516825,2.534952,17324.82617,,12.7632,4.403327786
25799609,-0.772895925,119.1492948,10.6412,11.0662,10.997,10.058,9.689,5814.9,4.40195,-0.016,DWARF,1.06616,0.0472889,1.046,214,0.601468861,1.12932,10.8484,16_17,2458742.687,10.91188,2.427,1670,,9.8115,6.943208822
26433869,30.14951252,56.81432491,8.4107,9.11769,9.488,7.332,6.686,4963,,,GIANT,7.82555,,,,,3.81608,-3.39117,16_17,2458739.468,1.16237,1.33,1196.630005,,10.2108,7.305100279
26880783,53.46455811,293.4435926,9.2118,9.22439,9.24,9.024,8.982,9598,3.80994,,DWARF,3.22588,0.102272,2.45,264,0.057030648,-3.0992,-7.25395,2,2458354.573,6.73069,3.503,14721.7002,,12.0885,4.580105077
